date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:42:10	23521/23521	---M--	200	added ('OK')	image/jpeg	etag:%22623fa94e-5be1%22	https://cdn.botble.com/hasa/storage/product-collections/4-570x268.jpg	D:/Demo-DACS2/cdn.botble.com/hasa/storage/product-collections/4-570x268.jpg	(from https://hasa.botble.com/vi)
13:42:11	35612/35612	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:10%20GMT	https://hasa.botble.com/vi/products?collections%5B%5D=4	D:/Demo-DACS2/hasa.botble.com/vi/products167f.html	(from https://hasa.botble.com/vi)
13:42:11	1019757/1019757	---M--	200	added ('OK')	image/jpeg	etag:%22623fa94e-f8f6d%22	https://cdn.botble.com/hasa/storage/sliders/2.jpg	D:/Demo-DACS2/cdn.botble.com/hasa/storage/sliders/2.jpg	(from https://hasa.botble.com/vi)
14:09:43	13396/13396	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Oct%202022%2007:09:42%20GMT	https://cdn.botble.com/themes/september/plugins/owl-carousel/css/owl.video.play.png	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/owl-carousel/css/owl.video.play.2d.delayed	(from https://cdn.botble.com/themes/september/plugins/owl-carousel/css/owl.carousel.min.css)
14:09:44	13395/13395	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Oct%202022%2007:09:43%20GMT	https://cdn.botble.com/themes/september/plugins/owl-carousel/css/AjaxLoader.gif	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/owl-carousel/css/AjaxLoader.gif	(from https://cdn.botble.com/themes/september/plugins/owl-carousel/css/owl.theme.css)
14:09:45	313/313	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:09:45%20GMT	https://hasa.botble.com/en/login	D:/Demo-DACS2/hasa.botble.com/en/login.2f.delayed	(from https://hasa.botble.com/vi/login)
14:09:46	21000/21000	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2007:09:45%20GMT	https://hasa.botble.com/login	D:/Demo-DACS2/hasa.botble.com/login.html	(from https://hasa.botble.com/vi/login)
14:09:47	322/322	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:09:47%20GMT	https://hasa.botble.com/vi/currency/switch/USD	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/USD.31.delayed	(from https://hasa.botble.com/vi/login)
14:09:48	322/322	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:09:47%20GMT	https://hasa.botble.com/vi/currency/switch/EUR	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/EUR	(from https://hasa.botble.com/vi/login)
14:09:49	322/322	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:09:48%20GMT	https://hasa.botble.com/vi/currency/switch/VND	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/VND	(from https://hasa.botble.com/vi/login)
14:09:49	322/322	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:09:48%20GMT	https://hasa.botble.com/vi/currency/switch/RUB	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/RUB	(from https://hasa.botble.com/vi/login)
14:09:50	20800/20800	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2007:09:49%20GMT	https://hasa.botble.com/vi/password/reset	D:/Demo-DACS2/hasa.botble.com/vi/password/reset.html	(from https://hasa.botble.com/vi/login)
14:09:50	0/-1	---M--	302	error ('')			https://hasa.botble.com/vi/currency/switch/USD	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/USD.37.delayed	(from https://hasa.botble.com/vi/login)
14:09:50	22042/22042	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2007:09:50%20GMT	https://hasa.botble.com/vi/register	D:/Demo-DACS2/hasa.botble.com/vi/register.html	(from https://hasa.botble.com/vi/login)
14:09:51	322/322	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:09:50%20GMT	https://hasa.botble.com/vi/currency/switch/EUR	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/EUR	(from https://hasa.botble.com/vi/login)
14:09:51	322/322	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:09:51%20GMT	https://hasa.botble.com/vi/currency/switch/VND	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/VND	(from https://hasa.botble.com/vi/login)
14:09:52	322/322	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2007:09:51%20GMT	https://hasa.botble.com/vi/currency/switch/RUB	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/RUB	(from https://hasa.botble.com/vi/login)
14:09:52	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263401421-4d7%22	https://hasa.botble.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/Demo-DACS2/hasa.botble.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://hasa.botble.com/vi/login)
14:09:53	18994/18994	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-4a32%22	https://cdn.botble.com/themes/september/plugins/popper.min.js	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/popper.min.js	(from https://hasa.botble.com/vi/login)
14:09:53	59969/59969	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-ea41%22	https://cdn.botble.com/themes/september/plugins/bootstrap/js/bootstrap.min.js	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/bootstrap/js/bootstrap.min.js	(from https://hasa.botble.com/vi/login)
14:09:53	53180/53180	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-cfbc%22	https://cdn.botble.com/themes/september/plugins/slick/slick.min.js	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/slick/slick.min.js	(from https://hasa.botble.com/vi/login)
14:09:53	5778/5778	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-1692%22	https://cdn.botble.com/themes/september/plugins/jquery-bar-rating/jquery.barrating.min.js	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/jquery-bar-rating/jquery.barrating.min.js	(from https://hasa.botble.com/vi/login)
14:09:54	23500/23500	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-5bcc%22	https://cdn.botble.com/themes/september/plugins/nouislider/nouislider.min.js	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/nouislider/nouislider.min.js	(from https://hasa.botble.com/vi/login)
14:09:55	3380/3380	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-d34%22	https://cdn.botble.com/themes/september/plugins/jquery.matchHeight-min.js	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/jquery.matchHeight-min.js	(from https://hasa.botble.com/vi/login)
14:09:56	5339/5339	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-14db%22	https://cdn.botble.com/themes/september/plugins/jquery.countdown.min.js	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/jquery.countdown.min.js	(from https://hasa.botble.com/vi/login)
14:09:56	6771/6771	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-1a73%22	https://cdn.botble.com/themes/september/js/script.js?v=1.26.1	D:/Demo-DACS2/cdn.botble.com/themes/september/js/script254b.js	(from https://hasa.botble.com/vi/login)
14:09:56	21578/21578	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-544a%22	https://cdn.botble.com/themes/september/js/backend.js?v=1.26.1	D:/Demo-DACS2/cdn.botble.com/themes/september/js/backend254b.js	(from https://hasa.botble.com/vi/login)
14:09:58	154322/154322	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d596-25ad2%22	https://cdn.botble.com/themes/september/js/components.js?v=1.26.1	D:/Demo-DACS2/cdn.botble.com/themes/september/js/components254b.js	(from https://hasa.botble.com/vi/login)
14:09:58	884/884	---MC-	200	added ('OK')	text/javascript	date:Tue,%2011%20Oct%202022%2007:09:58%20GMT	https://www.google.com/recaptcha/api.js?render=6Lfy6KwZAAAAAE6YyQkbEMKau78hg_MawFVYRchS&hl=vi	D:/Demo-DACS2/www.google.com/recaptcha/api9d86.js	(from https://hasa.botble.com/vi/login)
14:09:58	744/744	---MCZ	200	added ('OK')	application/javascript	etag:W/%226344d637-2e8%22	https://cdn.botble.com/vendor/core/plugins/cookie-consent/js/cookie-consent.js?v=1.0.0	D:/Demo-DACS2/cdn.botble.com/vendor/core/plugins/cookie-consent/js/cookie-consente209.js	(from https://hasa.botble.com/vi/login)
